text,label
Rajakot ma tamara samaj ni dikari upar najar bagadi ghar nu ghar chhodaviyu.e vala ni dikari hati ana mate tamaro samaj kem aagal nathi aavato aavi to ketali ben dikariyu chhe dukhi chhe ani madade aavo,1
Gunatinanade jo jalaram ne ashirvad aapya hoy to jalaram bapa ne tya 1 rupiyo bhi leva ma nhi aavto pan swaminarayan na Kaya mandir ma bhojan to muko pan Prasad pan Paisa vina nhi malto. Bhukhya ne jamade te jalaram. Swaminarayan to dukan che. Gunatinanad ma etli takat hoy to atyare kayi gunatinanad ne tya tamne free jamvanu made che,1
"Kem aaje Ronak Bhai ma utsah no abhav dekhay chhe ! , Bav bhare man e muddo uthavvo padto hoy evu lagi rahyu chhe !? 

""HU TO BOLISH"" mathi 'hu to boshish'  e pan mand mand ? 

Khali Batavva kharar aa banayu chhe koi keh na ke kem na batai news m karine clear dekhay chhe have.... kai dignity jevu rakho yarr 🙏🏻",1
"Mahadeve jer pithi e vathat e samaya hato a samaya ladu khadho to tamaru su jai chhe.su akkhi jindhaghi jerj piya karvanu .
To tame pan ladu khavanu bandh kari ne khali jer pivanu saru karo",1
Modiji  hai to tenson kaya hai bhro n bil sarkar majbut honi chaiye 😮😮 bohut Kam bil hai ye to  ek din Aisa time aayega na jangal me rahna padega.  Patrol dekhna 200 ho jayga bad me samjo ge  log pure Khali ho jaege fir pata legega  jai bharat  bjp jindabad,1
have aam jantane jagvu padse! nakar aa sarkar jivava nai diye garib no j maro che ane sarkar nu Man fave tem lock down ane corrona felave che kharekhar to aa corrona na thi nathi marta atla to amara jeva garib manso kam dhandha vagar mari jay che jago Gujarat jago 🙏🙏🙏🙏🙏🙏🙏🙏🙏😢aa Chanel ne salute che amaru ke sacha samachar aape che...🙏,1
Aaje patel ni kale biza ni hase 18 venh aaje nahi bole to ne aadikree ne pu6eelejo pela hakikat shu 6 ke aa rajniti 6 khali fast ye tapash pa6 aagal vadho,1
swami m kese k Swaminarayan ji 7varsh van ma rya aetle te nilkanth thya to shri ram to 14 varsh van ma rya to e kon thya sata te mahadev na aaradhak se to nilkanth sachu kon thyu are vala aa badhu jati dharam bandh kro hindu thay ne ryo mara bhai,1
"Aaje eno dikro che, kale aapdo bhai ke son hase lovejehad ma aapdu ghar ni women hase kevo law che aa desh ne aa loko aaram thi phare che apradh karine.",1
"AA vakil ne samjavo..ke case muki de ..bijo kon case ladva aave Ane aavva dyo.pan AA vakil case nahi muke ...Kem ke moto murgo hath maa aavyo che ..
Paisa kamavva .",1
Tamaru potanu rajkiy labh leva samaj ne ullu bnava nikdya... Pn badhe hve tmari aa vicharsarni nhi chale... Tamara jeva ne lidhe j koi rajput neta o agad nthi...,1
Darx kya thi aave chhe ito hu pan kai dau.  Rajkot ma je momidyan chhe ij lave chhe ane ij banave chhe,1
Aani pasal support ma Congress che congres a aamne kidhu hase game e karo pan pasa no padta BJP vala ne rajinaamu apaavo tamne ticket Mali jaase baki hamna election no hot aa aatlu badhu no virodh karet badha election na j bhuykha che badha ek j vastu key che ke rajinaamu aapo ane ticket rad karo wah Congress wah,1
Aa loko fakt ne fakt aevu sabit karva mange chhe ke swaminarayan sivay bija koy bhagvan chhe j nay,1
"Bhai a Kori che,athva ena popat ma dume nathi,Ane muslim koi a kinner ma ruse leta nathi,baki surkhai thi massalo Mari Jay etle thandi padi jasse",1
"Potana dharm ne uncho batava bijana dharm ne nicho batava prayatn kare, aapana hajaro sanatani vaibhavi shiv mandiro Kem tutya samji javo. Aa dharm etle khadhu pidhu ne raj karyu.Koipan area ma shiv mandir j sauthi motu mandir hovu joie. Umapati mahadev ki jay 🙏.",1
Aa badhi vaarta lakhi bas sanatan dharma ni ninda kare che bas manghnand   vato amni aa dhongi thi bolatu bi nathi pate live telecast ma fati padi che  ne lage che took samay ma mutri  padse pachi daipar pehravse amne satsangiyo 😄😀🤯😡😡😡,1
Amne samjawano prayas na karo midia tame kaho chho Chin ama samel Thay to mushkil Thay pan sambhli lo Chin pase ama wach ma padwa mate koyi issu nahoto ane ampan chin bharat sathe dusmani kari sake em nathi kmk chin Moti market india ma chhe trad riletion chhe india Sathe,1
Police ek goli mare to ketlo hisab apvo pade medam khabr che emni pase hathiyar hata nhi and same gunda oo pase talvaro hati to kon ladva jaay.,1
Ham sab mein yahi problem hai hum log ek dusre me hii itna ulje rehte hai ki  koi baharka hamare jagde me se fayda utha leta hai saints like nautam swami has to keep their mouth shut kyuki saint sabko jodate hai naa ki ladate hai,1
Nitin Patel khoto se kem Atiyar sudhi  kem garib yad na Aaviy have shutanhi Aavi to garib ne obc ne gess ne sahay yada Aavigay,1
Bhai aa je b adivasi bhai che ..f.i.r kri che ae khotoj j che aadivasi no khoto faydo uthave che ....hu b  adivasi j 6u...ane ha te sacho adivasi che k nkli.e b chek thvu joiae.....mehul bhai ae kyare kyare koi jativad kryoj nthi ae એડવોકેટ che  eva khota sabdo no kyare ઉપયોગ krej na ...loko mate lde che te,1
Aa medam ne lage potana Baap ni nokari mathe chadi aai che pan medam Badha na Baap ne nokari che amuk ne Mara ae Baap ne class two officer che Charbi utar thodi,1
Sachi vat che nilkanth vish piy ne thavay ladu khay ne no thavay koy ne taklif hoy to maljo,1
"Aaj thi nakki kariye ke swaminarayan ma manavu bandh kari do, ek number na badmaso chhe. Aa swaminarayan panth j khoto chhe.",1
Nhi karo lockdown jarur nathi hamna to sizan chale chhe lagan ni rupani ni takat bahar ni vat chhe vepari o na daban ma chhe hal ma a ok,1
Aa Swminarayan Na Bava ( Sadhu ).Nahi Baheki Gaya Lage Chhe Temna Mul Sansthapak Sahjanand Swamiye Sixa Patri Lakhi Chhe Te Aalokoye Vachhi Lagti Nathi  Tema Spast Lakhyu Chhe Samaj Seva Karvi Sadu Jivan Jivvu Ane Kaliya Thakar ( Shree Krishna Bhagvan ) Nu Bhajan Karvu Aan Atyar Na As Bava Potanej Bhagva Mane Chhe Ane  Sanatan Dharm Par Khoto Bakvas Kare Chhe Maruto Manvu Chhe Aalokoni Schoolo Ane Gukukulo Ma Tapas Karvi Joiye Aapna Balkone Aaloko Su Bhanave Chhe,1
"Morari bapu don't worry swami nalayak ne haji khabar j nathi sanatan dharm su see. Bapu ne murakh Kai ne swami nalayak na Santo potani ukat par Avi gai see.
Sawmi nalayako business ma dhyan Apo.",1
300rs be mahinanu bill Kem sakta chhe hu gamdama rahu chhu atiyare to pan be mahine 800 thi 1200 RS jetlu bill aave chhe ane hu bharupan chhu haju smart meter aaviya nthi pan aa badhani vaato par thi dhayan rakhvu padse,1
ASI ne suspend krvo joie j. ghandhi ji na ashram redevelop karva karta emna vicharo nu execution karvi Ae sachi shrdhanjali che emne.,1
Bapu swaminarayan na asrito ma anvay vyatirek ma ramchandra nu ane mahadev nu sthan kya barabar abhayas kari ne kehjo tame sahitya na jannara cho to tapas karjo,1
