text,label
"Hindu sampraday bahuj moto che te nano ke moto nathi jay shree ram bhakt hanuman Dada
Jay Bajrang bali
Dada",0
Salute. Chhe. Police ne. Vah. Vah,0
જય શ્રીસ્વામી......નાલાયક,1
સનાતની થૈને સનાતની ને મારે છે,1
On & only Super Star Vikram Bhai Thakor ⭐,0
Ha rupala ni moj ha ...😂,1
"2000 na Hapta Band Karo A pan   
Kheduto Mate Ravdi chhe",0
Kajal  pakistani  patel  virodhi  chhe,1
Aeto jena par vite aene khabar pade❤ jay❤ Mataji❤good night🌃,0
Bjp ne vote j na aapay kem k a aapda samaj sathe nay aatla virodh pachi Jo tikit cansal kare to su faydo,1
1918 કથી અવિયું સાહેબ,0
To udavi do,0
Hi,0
Pela  skand puran vach tane sarangpur no etihas kabhr che,0
Aap,0
Tamara ghare katha karo pagar lo so to loko na kam karo,0
નીતિન ભાઈ ને જવાબ આપવાની જગ્યાએ સવાલો પૂછે છે.. 😂,0
Juna mitar pela lagavo to khabar pade 6 month junu pan reva o,0
Vah ben Vah,0
Ramaynmache.ram.bkt.hanuman.ane.ramnaj.abh.dha.avtarche.bijuke.bhagvan.avtarlidha.am.gitana.slo.boleche.,0
Good reporting 👍👍👍👍,0
કોગ્રેસ,0
aa swaminarayan na bava ane madresa na maulavi banne  v chhokraoni gaand marvanu kaam kare chhe,1
Pandya sala nich tu u tub ma msg vach je ho lucha mari ma sachi 6 bhai tare jyre ant ave ne kida pade to yad karje bhai ho,0
Saru thayo lafo mairo😂,1
લુખ્ખો મોટામાં મોટો ચોર છે તું તે શું કર્યું ધાનપુર માટે તારા પરીવાર ની મિલ્કત જાહેર કરે,1
Bjp પૂછો કે તમે શુ કર્યું?,0
Aava police ne praja  a dhoi nakhvo joiye,1
"Vandho hoy te na jay
Sanatanana virodhio chup maro .
Tara virodhane koi puchhatu nathi",0
"જે  દરેક  નાગરિકને  કોઇ  પણ  બાબતે  police અને  corp સામે  ગંભીર  ફરિયાદો  होय,,તેમણે  એક  થઈને  मुहिम  upadvi जरुरी  છે//media मदद  કરશે  તેમાં  શંકા  નથી. કોઇ  એક  senior ભાઈ  જવાબદારી  લો 👍",0
Hara dheda,0
રૂપાલા બાય બાય,0
"રોનક ભાઈ આવા લખારીયા(ખોટો બફાટ કરવા વારા) ને સાઈડ માં મુકો
રાજ્ય લક્ષી,આમ જનતા ને મુંઝવતા
મુદ્દા ની ચર્ચા કરો.મોંઘવારી,ખેતી,બિઝનેસ,શિક્ષણ,આરોગ્ય,રોડ-રસ્તા,દવાખાના,પશુપાલન,જેવા મુદ્દા ની ડિબેટ કરો.",1
સુપર 👍,0
"BPSC घोटाला, सत्ताधीश पार्टियों को ले डूबेगा ।😢😢😢",0
તું પાછો આવી ગયો બોલવા માટે,0
8 વર્ષ શું કર્યું,0
જય શ્રી રામ,0
Interview ma koe setting thatu nathi hu pote 3 vakhat fail thayel 6u Open candidate tarike...mara e written ma sara marks hata interview ma ochha aya pan ema kaek apda ma j communication skill na hoe to marks na pan ave...kato e divase je direction ma interview jay e apda favour ma na hoy toe selection na thay...,0
"Total Govt machinery is always for sale, the only condition is that purchaser should have capacity to pay the bribe looking at crime committed. I definitely like to add HON PM & HM as first in the list as most of the BJP leaders are doing it under their shelter.",1
"બીજેપીના સાંસદ બોલો પણ અચકાય છે સાવ ખોટી નો લાગે છે, તમારી સરકાર છે ખોટું કર્યું હોય તો જેલમાં નાખો.",0
હનુમાનજી તો રામ ના નહીં પણ દાસ ના પણ દાસ છે. અમારા શાસ્ત્રો મા લખાયેલું છે.,0
Wrong show the video and  linen audio clip,0
દિલેવડી માં  આ  કાર્ડ  હિમતનગર માં  કોઈ  દખાનામા ચાલતુ નથી  શુ  ખોટી વાતો  કરોછો,0
"AAP,✍️✍️✍️✍️✍️👍👍👍",0
સેના ના નામે કરોડો રૂપિયા ખાઈ ગયો છે,0
બરોબર છે બરોબર છે😂😂😂😂,0
મારે ત્યાં પણ મારી સાથે આવુજ થયેલ. અને દોઢ કલાકે 100 નંબર ની ગાડી આવેલી. ઝગડો પત્યા પછી,0
SwaminarayN khud bhagvan shree krishna na bhakt hata hanumanji anant chhe tene SwaminarayN sathe na sarkhavi saksy,0
તેને ફોસી હોય,1
100% sachi vat chhe gopalbhai,0
Bajati Mota Bhagwan Shiv se Krishna se visa Baja Krishna Na Avatar chhe Swaminarayan Sant pahla Nathi,0
Very.good.,0
Fansi aapavo ene,1
આ વકીલ બવ બેકાર ને બેશરમ છે,1
पुरुषोत्तम रुपाला जिंदाबाद जय भीम नमो बुद्धाय,0
