text,label
Munafdivan3602 su ke chhe jovo brobr ane aapde nati jati ma jagdiye chhi kadach kajal himdustani ae aa spich hindu dikriyu ane hindu ma bap ne chetvva mate vat bansvi ne kidhi hase to pan kai khotu nathi kryu hu bharwad chhu jo amari dikriyu no nam lai ne udaharn aapyu hot yo pan hu Dil thi khotu na lagadt  kam krvu aghru chhe bolvu kai pan sellu chhe hoy himat patidar samaj athva koi dikra ni to kro madar kajal nu ...aavedan ane FRI...bhanela nu aadhar vagar nu hathiyar bani gyu chhe.kajal ne aa bilva badal su sarkar kri lese,1
Tu bolechhe ne achkaine tenauparthi spstthaychhe bhai ke taroj vakchhe ane idioma tuj bolechhe biji paltino koi nthi bhai karfyunoto bhang kariyuchhene marigya hoytoy  toy pan karfyuno bhang nokray ame gribne pan niyambhang karani sjajdechheto tnepan jadvijoiye ane medamne farithi ame mangdikariyechhiyeke te polisma farithi avijay ne tane jelma nakhiye,1
Aama Kaya kaydana aadhare kam kare chhe police dikari to koi ni office ma nokri kare chhe malik kahe tevu taiping Karine temne aapyu chhe to dikari ne gunegar sha mate police banave chhe police pan janta na nokar chhe BJP na dalal bani ne je kam kare chhe temne police ma nokri karvano adhikari j nathi janta na Tex na rupiya thi pagar laine ne adhikari jantane heran karva nu kam kare chhe to temne ghr besarido janta jago hindu hoi ke muslim janta ak Thai ne aavi sarkar ne ughada pado ne temni okat batavo janta jago,1
Jay jay sri ram aapade badhay janiye j che ye ke jalaram bapa nu virpur hoy k bajrang daas bapu nu bagdana hoy k aapa gigaa nu satadhar hoy tamam jgyaye ankhestro ma bhaviko ne aasatha tuprvak mafat maa kayam bhar pet jamade che jyare aa sawami narayan madiro maa jojo aa sawamiyo ye dharm ne neme dhandho chalu karyoche laadu ni parsadi jotihoy to 20 rupiya jamavu hoyato aek thari naa 100 rupiya aa sawami loko ne to dhundo che aene Sanatan Dharm sathe koi levadeva nathi aemneto bas rupiya kamava thi matlab che,0
Rupani Tu bhai gujrat na layak j nai pela to ane bike chalavvani okat nai ane odi api didhi che bhul thi tane atle..Tu revade corona thi nai matra atle loko mansik rite mare che atle plz pela to Tu new vala ne k bandh kare ava samachar des ma biju kai thtu j nai la corona j che ak ne ak batay batay karo new ma...,1
TME TAMARA VOTING MATE THY NE BIJANE SU LEVA BADNAAAM KRO CHO BAKI JE AA SAMAJ A KRYU CHE ENA TO ITAHAS SAKSHI PURE CHE AMARO BHOROSO BJP SARKAR CHE NAI K AAVA KOI VYAKTIO VOTE BHAJPA SARKAR NE APAY CHE NAI K AAVA 2-4 MANSO NE TME LOKO PELA AAVU BOLO PCHI MAAFI MAGO ATLE SU TAMARE BOLTA PELA J VICHAR KRVO PLE K JO AA SAMAJ NO HOY TO TMARI HALAT SU HOT.,0
"Aava lokomo manvta jevu hotu nthi aamne matr rupiyathi mtlb hoy che gujrat ane polis frj jvano ni privar nike mrnaroni koy chinta
Aava dlalone hoti nthi aemno privar aa aksmat mo homayo thot to rupiya thi
Gunagarone bchva nikli pdyahot
Sbse bda rupeeya he aava loko mate
Bhgvan ase logoko sdbbuddi de  mrnevale sbhi vykti oko inke aatma ko santi prdankr",0
"Madam aa rite ane aava question bjp na koi Nita same boli juvo tame kesho evu hu karish. Ane gulam thaine rahish
 Pan tame avu nahi karo kem ke tamne khaber che tamari halat su thashe
 Ek midiya tarike tamne bhan nathi ke tame koni jode vaat karo che respect karo ane bjp ni bhakti chodi do
 Ane duety karo sari rite
 Aap aave che
 Ane tamaro aham utari jashe",0
aato aem kahe che ke mari aashta teyaj ray che shalagpur maj to aano matalab ke bije keyay nathi tari aashtha shardha toto pavan tara gharma pan nay hoy ne ka te shwash leva shalagpur aato hasu teyaj hanumanji badhej che pela tu tari aakh khol ne shwami vishe saru lagava mate na bol ke teyaj aashtha che aej jagiya ye,0
Aa badhi godi midia chhe marnara 26 manas modiji na koyi saga nota ee dard jena swajan gaya chhe emne khabar pade midia kyay pan modiji khotu Kare chhe ewu kehwani himat nathi karta ane kato bjp thi dare chhe mane to em hatu k modiji emne sabak sikhwadse pan ewu kayi khas na kari sakya modiji ana karta to amari rajashahi sari ane bahadur hati awi kayarta kyarey na kare,0
